,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Original_medal,Gold,Silver,Bronze,Athlete_Team,Original_gold_winner,New_medal
5795,Atlanta (1996),1996,Athletics,Athletics,Kim Graham,USA,Women,4x400m relay women,Gold,1,0,0,Kim Graham (USA),Kim Graham (USA),Gold
5796,Atlanta (1996),1996,Athletics,Athletics,Kim Graham,USA,Women,4x400m relay women,Gold,1,0,0,Kim Graham (USA),Maicel Malone (USA),Gold
5797,Atlanta (1996),1996,Athletics,Athletics,Kim Graham,USA,Women,4x400m relay women,Gold,1,0,0,Kim Graham (USA),Jearl Miles (USA),Gold
5798,Atlanta (1996),1996,Athletics,Athletics,Kim Graham,USA,Women,4x400m relay women,Gold,1,0,0,Kim Graham (USA),Rochelle Stevens (USA),Gold
5799,Atlanta (1996),1996,Athletics,Athletics,Kim Graham,USA,Women,4x400m relay women,Gold,1,0,0,Kim Graham (USA),Linetta Wilson (USA),Gold
5800,Atlanta (1996),1996,Athletics,Athletics,Maicel Malone,USA,Women,4x400m relay women,Gold,1,0,0,Maicel Malone (USA),Kim Graham (USA),Gold
5801,Atlanta (1996),1996,Athletics,Athletics,Maicel Malone,USA,Women,4x400m relay women,Gold,1,0,0,Maicel Malone (USA),Maicel Malone (USA),Gold
5802,Atlanta (1996),1996,Athletics,Athletics,Maicel Malone,USA,Women,4x400m relay women,Gold,1,0,0,Maicel Malone (USA),Jearl Miles (USA),Gold
5803,Atlanta (1996),1996,Athletics,Athletics,Maicel Malone,USA,Women,4x400m relay women,Gold,1,0,0,Maicel Malone (USA),Rochelle Stevens (USA),Gold
5804,Atlanta (1996),1996,Athletics,Athletics,Maicel Malone,USA,Women,4x400m relay women,Gold,1,0,0,Maicel Malone (USA),Linetta Wilson (USA),Gold
5805,Atlanta (1996),1996,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Kim Graham (USA),Gold
5806,Atlanta (1996),1996,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Maicel Malone (USA),Gold
5807,Atlanta (1996),1996,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Jearl Miles (USA),Gold
5808,Atlanta (1996),1996,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Rochelle Stevens (USA),Gold
5809,Atlanta (1996),1996,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Linetta Wilson (USA),Gold
5810,Atlanta (1996),1996,Athletics,Athletics,Rochelle Stevens,USA,Women,4x400m relay women,Gold,1,0,0,Rochelle Stevens (USA),Kim Graham (USA),Gold
5811,Atlanta (1996),1996,Athletics,Athletics,Rochelle Stevens,USA,Women,4x400m relay women,Gold,1,0,0,Rochelle Stevens (USA),Maicel Malone (USA),Gold
5812,Atlanta (1996),1996,Athletics,Athletics,Rochelle Stevens,USA,Women,4x400m relay women,Gold,1,0,0,Rochelle Stevens (USA),Jearl Miles (USA),Gold
5813,Atlanta (1996),1996,Athletics,Athletics,Rochelle Stevens,USA,Women,4x400m relay women,Gold,1,0,0,Rochelle Stevens (USA),Rochelle Stevens (USA),Gold
5814,Atlanta (1996),1996,Athletics,Athletics,Rochelle Stevens,USA,Women,4x400m relay women,Gold,1,0,0,Rochelle Stevens (USA),Linetta Wilson (USA),Gold
5815,Atlanta (1996),1996,Athletics,Athletics,Linetta Wilson,USA,Women,4x400m relay women,Gold,1,0,0,Linetta Wilson (USA),Kim Graham (USA),Gold
5816,Atlanta (1996),1996,Athletics,Athletics,Linetta Wilson,USA,Women,4x400m relay women,Gold,1,0,0,Linetta Wilson (USA),Maicel Malone (USA),Gold
5817,Atlanta (1996),1996,Athletics,Athletics,Linetta Wilson,USA,Women,4x400m relay women,Gold,1,0,0,Linetta Wilson (USA),Jearl Miles (USA),Gold
5818,Atlanta (1996),1996,Athletics,Athletics,Linetta Wilson,USA,Women,4x400m relay women,Gold,1,0,0,Linetta Wilson (USA),Rochelle Stevens (USA),Gold
5819,Atlanta (1996),1996,Athletics,Athletics,Linetta Wilson,USA,Women,4x400m relay women,Gold,1,0,0,Linetta Wilson (USA),Linetta Wilson (USA),Gold
5841,Atlanta (1996),1996,Athletics,Athletics,Venuste Niyongabo,BDI,Men,5000m men,Gold,1,0,0,Venuste Niyongabo (BDI),Venuste Niyongabo (BDI),Gold
5844,Atlanta (1996),1996,Athletics,Athletics,Junxia Wang,CHN,Women,5000m women,Gold,1,0,0,Junxia Wang (CHN),Junxia Wang (CHN),Gold
5847,Atlanta (1996),1996,Athletics,Athletics,Robert Korzeniowski,POL,Men,50km walk men,Gold,1,0,0,Robert Korzeniowski (POL),Robert Korzeniowski (POL),Gold
5850,Atlanta (1996),1996,Athletics,Athletics,Vebjorn Rodal,NOR,Men,800m men,Gold,1,0,0,Vebjorn Rodal (NOR),Vebjorn Rodal (NOR),Gold
5853,Atlanta (1996),1996,Athletics,Athletics,Svetlana Masterkova,RUS,Women,800m women,Gold,1,0,0,Svetlana Masterkova (RUS),Svetlana Masterkova (RUS),Gold
5856,Atlanta (1996),1996,Athletics,Athletics,Dan O'Brien,USA,Men,decathlon men,Gold,1,0,0,Dan O'Brien (USA),Dan O'Brien (USA),Gold
5859,Atlanta (1996),1996,Athletics,Athletics,Lars Riedel,GER,Men,discus throw men,Gold,1,0,0,Lars Riedel (GER),Lars Riedel (GER),Gold
5862,Atlanta (1996),1996,Athletics,Athletics,Ilke Wyludda,GER,Women,discus throw women,Gold,1,0,0,Ilke Wyludda (GER),Ilke Wyludda (GER),Gold
5865,Atlanta (1996),1996,Athletics,Athletics,Balazs Kiss,HUN,Men,hammer throw men,Gold,1,0,0,Balazs Kiss (HUN),Balazs Kiss (HUN),Gold
5868,Atlanta (1996),1996,Athletics,Athletics,Ghada Shouaa,SYR,Women,heptathlon women,Gold,1,0,0,Ghada Shouaa (SYR),Ghada Shouaa (SYR),Gold
5871,Atlanta (1996),1996,Athletics,Athletics,Charles Austin,USA,Men,high jump men,Gold,1,0,0,Charles Austin (USA),Charles Austin (USA),Gold
5874,Atlanta (1996),1996,Athletics,Athletics,Stefka Kostadinova,BUL,Women,high jump women,Gold,1,0,0,Stefka Kostadinova (BUL),Stefka Kostadinova (BUL),Gold
5877,Atlanta (1996),1996,Athletics,Athletics,Jan Zelezny,CZE,Men,javelin throw men,Gold,1,0,0,Jan Zelezny (CZE),Jan Zelezny (CZE),Gold
5880,Atlanta (1996),1996,Athletics,Athletics,Heli Orvokki Rantanen,FIN,Women,javelin throw women,Gold,1,0,0,Heli Orvokki Rantanen (FIN),Heli Orvokki Rantanen (FIN),Gold
5883,Atlanta (1996),1996,Athletics,Athletics,Carl Lewis,USA,Men,long jump men,Gold,1,0,0,Carl Lewis (USA),Carl Lewis (USA),Gold
5886,Atlanta (1996),1996,Athletics,Athletics,Chioma Ajunwa,NGR,Women,long jump women,Gold,1,0,0,Chioma Ajunwa (NGR),Chioma Ajunwa (NGR),Gold
5889,Atlanta (1996),1996,Athletics,Athletics,Josia Thugwane,RSA,Men,marathon men,Gold,1,0,0,Josia Thugwane (RSA),Josia Thugwane (RSA),Gold
5892,Atlanta (1996),1996,Athletics,Athletics,Fatuma Roba,ETH,Women,marathon women,Gold,1,0,0,Fatuma Roba (ETH),Fatuma Roba (ETH),Gold
5895,Atlanta (1996),1996,Athletics,Athletics,Jean Galfione,FRA,Men,pole vault men,Gold,1,0,0,Jean Galfione (FRA),Jean Galfione (FRA),Gold
5898,Atlanta (1996),1996,Athletics,Athletics,Eric Randolph Barnes,USA,Men,shot put men,Gold,1,0,0,Eric Randolph Barnes (USA),Eric Randolph Barnes (USA),Gold
5901,Atlanta (1996),1996,Athletics,Athletics,Astrid Kumbernuss,GER,Women,shot put women,Gold,1,0,0,Astrid Kumbernuss (GER),Astrid Kumbernuss (GER),Gold
5904,Atlanta (1996),1996,Athletics,Athletics,Kenny Harrison,USA,Men,triple jump men,Gold,1,0,0,Kenny Harrison (USA),Kenny Harrison (USA),Gold
5907,Atlanta (1996),1996,Athletics,Athletics,Inessa Kravets,UKR,Women,triple jump women,Gold,1,0,0,Inessa Kravets (UKR),Inessa Kravets (UKR),Gold
5910,Sydney (2000),2000,Athletics,Athletics,Haile Gebrselassie,ETH,Men,10000m men,Gold,1,0,0,Haile Gebrselassie (ETH),Haile Gebrselassie (ETH),Gold
5913,Sydney (2000),2000,Athletics,Athletics,Derartu Tulu,ETH,Women,10000m women,Gold,1,0,0,Derartu Tulu (ETH),Derartu Tulu (ETH),Gold
5916,Sydney (2000),2000,Athletics,Athletics,Maurice Greene,USA,Men,100m men,Gold,1,0,0,Maurice Greene (USA),Maurice Greene (USA),Gold
5922,Sydney (2000),2000,Athletics,Athletics,Olga Shishigina,KAZ,Women,100m hurdles women,Gold,1,0,0,Olga Shishigina (KAZ),Olga Shishigina (KAZ),Gold
5925,Sydney (2000),2000,Athletics,Athletics,Anier Garcia,CUB,Men,110m hurdles men,Gold,1,0,0,Anier Garcia (CUB),Anier Garcia (CUB),Gold
5928,Sydney (2000),2000,Athletics,Athletics,Noah Kiprono Ngenyi,KEN,Men,1500m men,Gold,1,0,0,Noah Kiprono Ngenyi (KEN),Noah Kiprono Ngenyi (KEN),Gold
5931,Sydney (2000),2000,Athletics,Athletics,Nouria Merah-Benida,ALG,Women,1500m women,Gold,1,0,0,Nouria Merah-Benida (ALG),Nouria Merah-Benida (ALG),Gold
5934,Sydney (2000),2000,Athletics,Athletics,Konstantinos Kenteris,GRE,Men,200m men,Gold,1,0,0,Konstantinos Kenteris (GRE),Konstantinos Kenteris (GRE),Gold
5937,Sydney (2000),2000,Athletics,Athletics,Pauline Elaine Davis,BAH,Women,200m women,Gold,1,0,0,Pauline Elaine Davis (BAH),Pauline Elaine Davis (BAH),Gold
5940,Sydney (2000),2000,Athletics,Athletics,Liping Wang,CHN,Women,20km race walk women,Gold,1,0,0,Liping Wang (CHN),Liping Wang (CHN),Gold
5943,Sydney (2000),2000,Athletics,Athletics,Robert Korzeniowski,POL,Men,20km walk men,Gold,1,0,0,Robert Korzeniowski (POL),Robert Korzeniowski (POL),Gold
5946,Sydney (2000),2000,Athletics,Athletics,Reuben Kosgei,KEN,Men,3000m steeplechase men,Gold,1,0,0,Reuben Kosgei (KEN),Reuben Kosgei (KEN),Gold
5949,Sydney (2000),2000,Athletics,Athletics,Michael Johnson,USA,Men,400m men,Gold,1,0,0,Michael Johnson (USA),Michael Johnson (USA),Gold
5952,Sydney (2000),2000,Athletics,Athletics,Cathy Freeman,AUS,Women,400m women,Gold,1,0,0,Cathy Freeman (AUS),Cathy Freeman (AUS),Gold
5955,Sydney (2000),2000,Athletics,Athletics,Angelo Taylor,USA,Men,400m hurdles men,Gold,1,0,0,Angelo Taylor (USA),Angelo Taylor (USA),Gold
5958,Sydney (2000),2000,Athletics,Athletics,Irina Privalova,RUS,Women,400m hurdles women,Gold,1,0,0,Irina Privalova (RUS),Irina Privalova (RUS),Gold
5984,Sydney (2000),2000,Athletics,Athletics,Kenneth Brokenburr,USA,Men,4x100m relay men,Gold,1,0,0,Kenneth Brokenburr (USA),Kenneth Brokenburr (USA),Gold
5985,Sydney (2000),2000,Athletics,Athletics,Kenneth Brokenburr,USA,Men,4x100m relay men,Gold,1,0,0,Kenneth Brokenburr (USA),Jon Drummond (USA),Gold
5986,Sydney (2000),2000,Athletics,Athletics,Kenneth Brokenburr,USA,Men,4x100m relay men,Gold,1,0,0,Kenneth Brokenburr (USA),Maurice Greene (USA),Gold
5987,Sydney (2000),2000,Athletics,Athletics,Kenneth Brokenburr,USA,Men,4x100m relay men,Gold,1,0,0,Kenneth Brokenburr (USA),Brian Lewis (USA),Gold
5988,Sydney (2000),2000,Athletics,Athletics,Kenneth Brokenburr,USA,Men,4x100m relay men,Gold,1,0,0,Kenneth Brokenburr (USA),Tim Montgomery (USA),Gold
5989,Sydney (2000),2000,Athletics,Athletics,Kenneth Brokenburr,USA,Men,4x100m relay men,Gold,1,0,0,Kenneth Brokenburr (USA),Bernard Williams Iii (USA),Gold
5990,Sydney (2000),2000,Athletics,Athletics,Jon Drummond,USA,Men,4x100m relay men,Gold,1,0,0,Jon Drummond (USA),Kenneth Brokenburr (USA),Gold
5991,Sydney (2000),2000,Athletics,Athletics,Jon Drummond,USA,Men,4x100m relay men,Gold,1,0,0,Jon Drummond (USA),Jon Drummond (USA),Gold
5992,Sydney (2000),2000,Athletics,Athletics,Jon Drummond,USA,Men,4x100m relay men,Gold,1,0,0,Jon Drummond (USA),Maurice Greene (USA),Gold
5993,Sydney (2000),2000,Athletics,Athletics,Jon Drummond,USA,Men,4x100m relay men,Gold,1,0,0,Jon Drummond (USA),Brian Lewis (USA),Gold
5994,Sydney (2000),2000,Athletics,Athletics,Jon Drummond,USA,Men,4x100m relay men,Gold,1,0,0,Jon Drummond (USA),Tim Montgomery (USA),Gold
5995,Sydney (2000),2000,Athletics,Athletics,Jon Drummond,USA,Men,4x100m relay men,Gold,1,0,0,Jon Drummond (USA),Bernard Williams Iii (USA),Gold
5996,Sydney (2000),2000,Athletics,Athletics,Maurice Greene,USA,Men,4x100m relay men,Gold,1,0,0,Maurice Greene (USA),Kenneth Brokenburr (USA),Gold
5997,Sydney (2000),2000,Athletics,Athletics,Maurice Greene,USA,Men,4x100m relay men,Gold,1,0,0,Maurice Greene (USA),Jon Drummond (USA),Gold
5998,Sydney (2000),2000,Athletics,Athletics,Maurice Greene,USA,Men,4x100m relay men,Gold,1,0,0,Maurice Greene (USA),Maurice Greene (USA),Gold
5999,Sydney (2000),2000,Athletics,Athletics,Maurice Greene,USA,Men,4x100m relay men,Gold,1,0,0,Maurice Greene (USA),Brian Lewis (USA),Gold
6000,Sydney (2000),2000,Athletics,Athletics,Maurice Greene,USA,Men,4x100m relay men,Gold,1,0,0,Maurice Greene (USA),Tim Montgomery (USA),Gold
6001,Sydney (2000),2000,Athletics,Athletics,Maurice Greene,USA,Men,4x100m relay men,Gold,1,0,0,Maurice Greene (USA),Bernard Williams Iii (USA),Gold
6002,Sydney (2000),2000,Athletics,Athletics,Brian Lewis,USA,Men,4x100m relay men,Gold,1,0,0,Brian Lewis (USA),Kenneth Brokenburr (USA),Gold
6003,Sydney (2000),2000,Athletics,Athletics,Brian Lewis,USA,Men,4x100m relay men,Gold,1,0,0,Brian Lewis (USA),Jon Drummond (USA),Gold
6004,Sydney (2000),2000,Athletics,Athletics,Brian Lewis,USA,Men,4x100m relay men,Gold,1,0,0,Brian Lewis (USA),Maurice Greene (USA),Gold
6005,Sydney (2000),2000,Athletics,Athletics,Brian Lewis,USA,Men,4x100m relay men,Gold,1,0,0,Brian Lewis (USA),Brian Lewis (USA),Gold
6006,Sydney (2000),2000,Athletics,Athletics,Brian Lewis,USA,Men,4x100m relay men,Gold,1,0,0,Brian Lewis (USA),Tim Montgomery (USA),Gold
6007,Sydney (2000),2000,Athletics,Athletics,Brian Lewis,USA,Men,4x100m relay men,Gold,1,0,0,Brian Lewis (USA),Bernard Williams Iii (USA),Gold
6008,Sydney (2000),2000,Athletics,Athletics,Tim Montgomery,USA,Men,4x100m relay men,Gold,1,0,0,Tim Montgomery (USA),Kenneth Brokenburr (USA),Gold
6009,Sydney (2000),2000,Athletics,Athletics,Tim Montgomery,USA,Men,4x100m relay men,Gold,1,0,0,Tim Montgomery (USA),Jon Drummond (USA),Gold
6010,Sydney (2000),2000,Athletics,Athletics,Tim Montgomery,USA,Men,4x100m relay men,Gold,1,0,0,Tim Montgomery (USA),Maurice Greene (USA),Gold
6011,Sydney (2000),2000,Athletics,Athletics,Tim Montgomery,USA,Men,4x100m relay men,Gold,1,0,0,Tim Montgomery (USA),Brian Lewis (USA),Gold
6012,Sydney (2000),2000,Athletics,Athletics,Tim Montgomery,USA,Men,4x100m relay men,Gold,1,0,0,Tim Montgomery (USA),Tim Montgomery (USA),Gold
6013,Sydney (2000),2000,Athletics,Athletics,Tim Montgomery,USA,Men,4x100m relay men,Gold,1,0,0,Tim Montgomery (USA),Bernard Williams Iii (USA),Gold
6014,Sydney (2000),2000,Athletics,Athletics,Bernard Williams Iii,USA,Men,4x100m relay men,Gold,1,0,0,Bernard Williams Iii (USA),Kenneth Brokenburr (USA),Gold
6015,Sydney (2000),2000,Athletics,Athletics,Bernard Williams Iii,USA,Men,4x100m relay men,Gold,1,0,0,Bernard Williams Iii (USA),Jon Drummond (USA),Gold
6016,Sydney (2000),2000,Athletics,Athletics,Bernard Williams Iii,USA,Men,4x100m relay men,Gold,1,0,0,Bernard Williams Iii (USA),Maurice Greene (USA),Gold
6017,Sydney (2000),2000,Athletics,Athletics,Bernard Williams Iii,USA,Men,4x100m relay men,Gold,1,0,0,Bernard Williams Iii (USA),Brian Lewis (USA),Gold
6018,Sydney (2000),2000,Athletics,Athletics,Bernard Williams Iii,USA,Men,4x100m relay men,Gold,1,0,0,Bernard Williams Iii (USA),Tim Montgomery (USA),Gold
6019,Sydney (2000),2000,Athletics,Athletics,Bernard Williams Iii,USA,Men,4x100m relay men,Gold,1,0,0,Bernard Williams Iii (USA),Bernard Williams Iii (USA),Gold
6070,Sydney (2000),2000,Athletics,Athletics,Pauline Elaine Davis,BAH,Women,4x100m relay women,Gold,1,0,0,Pauline Elaine Davis (BAH),Pauline Elaine Davis (BAH),Gold
6071,Sydney (2000),2000,Athletics,Athletics,Pauline Elaine Davis,BAH,Women,4x100m relay women,Gold,1,0,0,Pauline Elaine Davis (BAH),Debbie Ferguson-Mckenzie (BAH),Gold
6072,Sydney (2000),2000,Athletics,Athletics,Pauline Elaine Davis,BAH,Women,4x100m relay women,Gold,1,0,0,Pauline Elaine Davis (BAH),Sevatheda Fynes (BAH),Gold
6073,Sydney (2000),2000,Athletics,Athletics,Pauline Elaine Davis,BAH,Women,4x100m relay women,Gold,1,0,0,Pauline Elaine Davis (BAH),Eldice Lewis (BAH),Gold
6074,Sydney (2000),2000,Athletics,Athletics,Pauline Elaine Davis,BAH,Women,4x100m relay women,Gold,1,0,0,Pauline Elaine Davis (BAH),Chandra Sturrup (BAH),Gold
6075,Sydney (2000),2000,Athletics,Athletics,Debbie Ferguson-Mckenzie,BAH,Women,4x100m relay women,Gold,1,0,0,Debbie Ferguson-Mckenzie (BAH),Pauline Elaine Davis (BAH),Gold
6076,Sydney (2000),2000,Athletics,Athletics,Debbie Ferguson-Mckenzie,BAH,Women,4x100m relay women,Gold,1,0,0,Debbie Ferguson-Mckenzie (BAH),Debbie Ferguson-Mckenzie (BAH),Gold
6077,Sydney (2000),2000,Athletics,Athletics,Debbie Ferguson-Mckenzie,BAH,Women,4x100m relay women,Gold,1,0,0,Debbie Ferguson-Mckenzie (BAH),Sevatheda Fynes (BAH),Gold
6078,Sydney (2000),2000,Athletics,Athletics,Debbie Ferguson-Mckenzie,BAH,Women,4x100m relay women,Gold,1,0,0,Debbie Ferguson-Mckenzie (BAH),Eldice Lewis (BAH),Gold
6079,Sydney (2000),2000,Athletics,Athletics,Debbie Ferguson-Mckenzie,BAH,Women,4x100m relay women,Gold,1,0,0,Debbie Ferguson-Mckenzie (BAH),Chandra Sturrup (BAH),Gold
6080,Sydney (2000),2000,Athletics,Athletics,Sevatheda Fynes,BAH,Women,4x100m relay women,Gold,1,0,0,Sevatheda Fynes (BAH),Pauline Elaine Davis (BAH),Gold
6081,Sydney (2000),2000,Athletics,Athletics,Sevatheda Fynes,BAH,Women,4x100m relay women,Gold,1,0,0,Sevatheda Fynes (BAH),Debbie Ferguson-Mckenzie (BAH),Gold
6082,Sydney (2000),2000,Athletics,Athletics,Sevatheda Fynes,BAH,Women,4x100m relay women,Gold,1,0,0,Sevatheda Fynes (BAH),Sevatheda Fynes (BAH),Gold
6083,Sydney (2000),2000,Athletics,Athletics,Sevatheda Fynes,BAH,Women,4x100m relay women,Gold,1,0,0,Sevatheda Fynes (BAH),Eldice Lewis (BAH),Gold
6084,Sydney (2000),2000,Athletics,Athletics,Sevatheda Fynes,BAH,Women,4x100m relay women,Gold,1,0,0,Sevatheda Fynes (BAH),Chandra Sturrup (BAH),Gold
6085,Sydney (2000),2000,Athletics,Athletics,Eldice Lewis,BAH,Women,4x100m relay women,Gold,1,0,0,Eldice Lewis (BAH),Pauline Elaine Davis (BAH),Gold
6086,Sydney (2000),2000,Athletics,Athletics,Eldice Lewis,BAH,Women,4x100m relay women,Gold,1,0,0,Eldice Lewis (BAH),Debbie Ferguson-Mckenzie (BAH),Gold
6087,Sydney (2000),2000,Athletics,Athletics,Eldice Lewis,BAH,Women,4x100m relay women,Gold,1,0,0,Eldice Lewis (BAH),Sevatheda Fynes (BAH),Gold
6088,Sydney (2000),2000,Athletics,Athletics,Eldice Lewis,BAH,Women,4x100m relay women,Gold,1,0,0,Eldice Lewis (BAH),Eldice Lewis (BAH),Gold
6089,Sydney (2000),2000,Athletics,Athletics,Eldice Lewis,BAH,Women,4x100m relay women,Gold,1,0,0,Eldice Lewis (BAH),Chandra Sturrup (BAH),Gold
6090,Sydney (2000),2000,Athletics,Athletics,Chandra Sturrup,BAH,Women,4x100m relay women,Gold,1,0,0,Chandra Sturrup (BAH),Pauline Elaine Davis (BAH),Gold
6091,Sydney (2000),2000,Athletics,Athletics,Chandra Sturrup,BAH,Women,4x100m relay women,Gold,1,0,0,Chandra Sturrup (BAH),Debbie Ferguson-Mckenzie (BAH),Gold
6092,Sydney (2000),2000,Athletics,Athletics,Chandra Sturrup,BAH,Women,4x100m relay women,Gold,1,0,0,Chandra Sturrup (BAH),Sevatheda Fynes (BAH),Gold
6093,Sydney (2000),2000,Athletics,Athletics,Chandra Sturrup,BAH,Women,4x100m relay women,Gold,1,0,0,Chandra Sturrup (BAH),Eldice Lewis (BAH),Gold
6094,Sydney (2000),2000,Athletics,Athletics,Chandra Sturrup,BAH,Women,4x100m relay women,Gold,1,0,0,Chandra Sturrup (BAH),Chandra Sturrup (BAH),Gold
6156,Sydney (2000),2000,Athletics,Athletics,Andrea Anderson,USA,Women,4x400m relay women,Gold,1,0,0,Andrea Anderson (USA),Andrea Anderson (USA),Gold
6157,Sydney (2000),2000,Athletics,Athletics,Andrea Anderson,USA,Women,4x400m relay women,Gold,1,0,0,Andrea Anderson (USA),Latasha Colander (USA),Gold
6158,Sydney (2000),2000,Athletics,Athletics,Andrea Anderson,USA,Women,4x400m relay women,Gold,1,0,0,Andrea Anderson (USA),Monique Hennagan (USA),Gold
6159,Sydney (2000),2000,Athletics,Athletics,Andrea Anderson,USA,Women,4x400m relay women,Gold,1,0,0,Andrea Anderson (USA),Jearl Miles (USA),Gold
6160,Sydney (2000),2000,Athletics,Athletics,Latasha Colander,USA,Women,4x400m relay women,Gold,1,0,0,Latasha Colander (USA),Andrea Anderson (USA),Gold
6161,Sydney (2000),2000,Athletics,Athletics,Latasha Colander,USA,Women,4x400m relay women,Gold,1,0,0,Latasha Colander (USA),Latasha Colander (USA),Gold
6162,Sydney (2000),2000,Athletics,Athletics,Latasha Colander,USA,Women,4x400m relay women,Gold,1,0,0,Latasha Colander (USA),Monique Hennagan (USA),Gold
6163,Sydney (2000),2000,Athletics,Athletics,Latasha Colander,USA,Women,4x400m relay women,Gold,1,0,0,Latasha Colander (USA),Jearl Miles (USA),Gold
6164,Sydney (2000),2000,Athletics,Athletics,Monique Hennagan,USA,Women,4x400m relay women,Gold,1,0,0,Monique Hennagan (USA),Andrea Anderson (USA),Gold
6165,Sydney (2000),2000,Athletics,Athletics,Monique Hennagan,USA,Women,4x400m relay women,Gold,1,0,0,Monique Hennagan (USA),Latasha Colander (USA),Gold
6166,Sydney (2000),2000,Athletics,Athletics,Monique Hennagan,USA,Women,4x400m relay women,Gold,1,0,0,Monique Hennagan (USA),Monique Hennagan (USA),Gold
6167,Sydney (2000),2000,Athletics,Athletics,Monique Hennagan,USA,Women,4x400m relay women,Gold,1,0,0,Monique Hennagan (USA),Jearl Miles (USA),Gold
6168,Sydney (2000),2000,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Andrea Anderson (USA),Gold
6169,Sydney (2000),2000,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Latasha Colander (USA),Gold
6170,Sydney (2000),2000,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Monique Hennagan (USA),Gold
6171,Sydney (2000),2000,Athletics,Athletics,Jearl Miles,USA,Women,4x400m relay women,Gold,1,0,0,Jearl Miles (USA),Jearl Miles (USA),Gold
6197,Sydney (2000),2000,Athletics,Athletics,Millon Wolde,ETH,Men,5000m men,Gold,1,0,0,Millon Wolde (ETH),Millon Wolde (ETH),Gold
6200,Sydney (2000),2000,Athletics,Athletics,Gabriela Szabo,ROU,Women,5000m women,Gold,1,0,0,Gabriela Szabo (ROU),Gabriela Szabo (ROU),Gold
6203,Sydney (2000),2000,Athletics,Athletics,Robert Korzeniowski,POL,Men,50km walk men,Gold,1,0,0,Robert Korzeniowski (POL),Robert Korzeniowski (POL),Gold
6206,Sydney (2000),2000,Athletics,Athletics,Nils Schumann,GER,Men,800m men,Gold,1,0,0,Nils Schumann (GER),Nils Schumann (GER),Gold
6209,Sydney (2000),2000,Athletics,Athletics,Maria Mutola,MOZ,Women,800m women,Gold,1,0,0,Maria Mutola (MOZ),Maria Mutola (MOZ),Gold
6212,Sydney (2000),2000,Athletics,Athletics,Erki Nool,EST,Men,decathlon men,Gold,1,0,0,Erki Nool (EST),Erki Nool (EST),Gold
6215,Sydney (2000),2000,Athletics,Athletics,Virgilijus Alekna,LTU,Men,discus throw men,Gold,1,0,0,Virgilijus Alekna (LTU),Virgilijus Alekna (LTU),Gold
6218,Sydney (2000),2000,Athletics,Athletics,Ellina Zvereva,BLR,Women,discus throw women,Gold,1,0,0,Ellina Zvereva (BLR),Ellina Zvereva (BLR),Gold
6221,Sydney (2000),2000,Athletics,Athletics,Szymon Ziolkowski,POL,Men,hammer throw men,Gold,1,0,0,Szymon Ziolkowski (POL),Szymon Ziolkowski (POL),Gold
6224,Sydney (2000),2000,Athletics,Athletics,Kamila Skolimowska,POL,Women,hammer throw women,Gold,1,0,0,Kamila Skolimowska (POL),Kamila Skolimowska (POL),Gold
6227,Sydney (2000),2000,Athletics,Athletics,Denise Lewis,GBR,Women,heptathlon women,Gold,1,0,0,Denise Lewis (GBR),Denise Lewis (GBR),Gold
6230,Sydney (2000),2000,Athletics,Athletics,Sergey Kliugin,RUS,Men,high jump men,Gold,1,0,0,Sergey Kliugin (RUS),Sergey Kliugin (RUS),Gold
6234,Sydney (2000),2000,Athletics,Athletics,Yelena Yelesina,RUS,Women,high jump women,Gold,1,0,0,Yelena Yelesina (RUS),Yelena Yelesina (RUS),Gold
6237,Sydney (2000),2000,Athletics,Athletics,Jan Zelezny,CZE,Men,javelin throw men,Gold,1,0,0,Jan Zelezny (CZE),Jan Zelezny (CZE),Gold
6240,Sydney (2000),2000,Athletics,Athletics,Trine Hattestad,NOR,Women,javelin throw women,Gold,1,0,0,Trine Hattestad (NOR),Trine Hattestad (NOR),Gold
6243,Sydney (2000),2000,Athletics,Athletics,Ivan Pedroso,CUB,Men,long jump men,Gold,1,0,0,Ivan Pedroso (CUB),Ivan Pedroso (CUB),Gold
6246,Sydney (2000),2000,Athletics,Athletics,Heike Drechsler,GER,Women,long jump women,Gold,1,0,0,Heike Drechsler (GER),Heike Drechsler (GER),Gold
